Record Number		Date         		Time     		Latitude		Longitude		Speed(km/hour)	Altitude(meter)		
	1		2014-03-29		09:09:32		3638.2627		-11624.4993		0.40		807.0
	2		2014-03-29		09:09:34		3638.2645		-11624.5011		0.20		812.0
	3		2014-03-29		09:09:35		3638.2645		-11624.5012		0.20		813.0
	4		2014-03-29		09:09:36		3638.2645		-11624.5012		0.20		813.0
	5		2014-03-29		09:09:37		3638.2645		-11624.5012		0.20		813.0
	6		2014-03-29		09:09:38		3638.2645		-11624.5012		0.20		813.0
	7		2014-03-29		09:09:39		3638.2644		-11624.5013		0.20		813.0
	8		2014-03-29		09:09:40		3638.2644		-11624.5013		0.20		814.0
	9		2014-03-29		09:09:41		3638.2644		-11624.5013		0.20		814.0
	10		2014-03-29		09:09:42		3638.2644		-11624.5013		0.20		814.0
	11		2014-03-29		09:09:43		3638.2644		-11624.5013		0.20		814.0
	12		2014-03-29		09:09:44		3638.2644		-11624.5013		0.20		814.0
	13		2014-03-29		09:09:45		3638.2644		-11624.5013		0.20		814.0
	14		2014-03-29		09:09:46		3638.2644		-11624.5013		0.20		814.0
	15		2014-03-29		09:09:47		3638.2644		-11624.5013		0.20		814.0
	16		2014-03-29		09:09:48		3638.2644		-11624.5013		0.20		814.0
	17		2014-03-29		09:09:49		3638.2644		-11624.5013		0.20		815.0
	18		2014-03-29		09:09:50		3638.2644		-11624.5012		0.10		814.0
	19		2014-03-29		09:09:51		3638.2643		-11624.5011		0.10		813.0
	20		2014-03-29		09:09:52		3638.2643		-11624.5010		0.10		813.0
	21		2014-03-29		09:09:53		3638.2643		-11624.5008		0.10		813.0
	22		2014-03-29		09:09:54		3638.2643		-11624.5007		0.10		812.0
	23		2014-03-29		09:09:55		3638.2643		-11624.5005		0.10		812.0
	24		2014-03-29		09:09:56		3638.2644		-11624.5003		0.00		811.0
	25		2014-03-29		09:09:57		3638.2645		-11624.5001		0.00		810.0
	26		2014-03-29		09:09:58		3638.2645		-11624.5000		0.10		810.0
	27		2014-03-29		09:09:59		3638.2645		-11624.4999		0.10		810.0
	28		2014-03-29		09:10:00		3638.2644		-11624.4999		0.10		810.0
	29		2014-03-29		09:10:01		3638.2644		-11624.4999		0.10		809.0
	30		2014-03-29		09:10:02		3638.2643		-11624.4998		0.10		810.0
	31		2014-03-29		09:10:03		3638.2644		-11624.4998		0.00		809.0
	32		2014-03-29		09:10:04		3638.2644		-11624.4998		0.10		808.0
	33		2014-03-29		09:10:05		3638.2644		-11624.4998		0.00		808.0
	34		2014-03-29		09:10:06		3638.2644		-11624.4998		0.10		808.0
	35		2014-03-29		09:10:07		3638.2645		-11624.4998		0.10		807.0
	36		2014-03-29		09:10:08		3638.2645		-11624.4999		0.10		807.0
	37		2014-03-29		09:10:09		3638.2645		-11624.4999		0.00		807.0
	38		2014-03-29		09:10:10		3638.2645		-11624.4999		0.10		807.0
	39		2014-03-29		09:10:11		3638.2646		-11624.4999		0.00		806.0
	40		2014-03-29		09:10:12		3638.2646		-11624.4999		0.10		806.0
	41		2014-03-29		09:10:13		3638.2646		-11624.4999		0.10		806.0
	42		2014-03-29		09:10:14		3638.2646		-11624.4999		0.00		806.0
	43		2014-03-29		09:10:15		3638.2645		-11624.4998		0.00		806.0
	44		2014-03-29		09:10:16		3638.2645		-11624.4998		0.00		806.0
	45		2014-03-29		09:10:17		3638.2645		-11624.4997		0.00		806.0
	46		2014-03-29		09:10:18		3638.2645		-11624.4997		0.00		806.0
	47		2014-03-29		09:10:19		3638.2645		-11624.4997		0.00		806.0
	48		2014-03-29		09:10:20		3638.2644		-11624.4997		0.00		806.0
	49		2014-03-29		09:10:21		3638.2644		-11624.4995		0.00		806.0
	50		2014-03-29		09:10:22		3638.2644		-11624.4995		0.10		806.0
	51		2014-03-29		09:10:23		3638.2643		-11624.4995		0.00		806.0
	52		2014-03-29		09:10:24		3638.2643		-11624.4995		0.00		806.0
	53		2014-03-29		09:10:25		3638.2643		-11624.4995		0.10		806.0
	54		2014-03-29		09:10:26		3638.2642		-11624.4995		0.00		806.0
	55		2014-03-29		09:10:27		3638.2642		-11624.4995		0.10		806.0
	56		2014-03-29		09:10:28		3638.2642		-11624.4995		0.00		806.0
	57		2014-03-29		09:10:29		3638.2641		-11624.4995		0.00		806.0
	58		2014-03-29		09:10:30		3638.2641		-11624.4995		0.10		806.0
	59		2014-03-29		09:10:31		3638.2641		-11624.4995		0.00		807.0
	60		2014-03-29		09:10:32		3638.2640		-11624.4995		0.10		807.0
	61		2014-03-29		09:10:33		3638.2640		-11624.4995		0.00		807.0
	62		2014-03-29		09:10:34		3638.2640		-11624.4995		0.00		807.0
	63		2014-03-29		09:10:35		3638.2639		-11624.4995		0.00		807.0
	64		2014-03-29		09:10:36		3638.2639		-11624.4995		0.00		807.0
	65		2014-03-29		09:10:37		3638.2639		-11624.4995		0.00		807.0
	66		2014-03-29		09:10:38		3638.2639		-11624.4995		0.00		807.0
	67		2014-03-29		09:10:39		3638.2638		-11624.4995		0.00		807.0
	68		2014-03-29		09:10:40		3638.2639		-11624.4995		0.00		807.0
	69		2014-03-29		09:10:41		3638.2639		-11624.4995		0.00		807.0
	70		2014-03-29		09:10:42		3638.2639		-11624.4995		0.00		807.0
	71		2014-03-29		09:10:43		3638.2639		-11624.4995		0.00		807.0
	72		2014-03-29		09:10:44		3638.2639		-11624.4994		0.00		807.0
	73		2014-03-29		09:10:45		3638.2639		-11624.4994		0.00		807.0
	74		2014-03-29		09:10:46		3638.2640		-11624.4994		0.00		807.0
	75		2014-03-29		09:10:47		3638.2640		-11624.4994		0.00		807.0
	76		2014-03-29		09:10:48		3638.2640		-11624.4994		0.00		806.0
	77		2014-03-29		09:10:49		3638.2640		-11624.4994		0.00		806.0
	78		2014-03-29		09:10:50		3638.2640		-11624.4993		0.00		806.0
	79		2014-03-29		09:10:51		3638.2640		-11624.4993		0.00		806.0
	80		2014-03-29		09:10:52		3638.2640		-11624.4993		0.00		806.0
	81		2014-03-29		09:10:53		3638.2640		-11624.4993		0.00		806.0
	82		2014-03-29		09:10:54		3638.2641		-11624.4992		0.10		806.0
	83		2014-03-29		09:10:55		3638.2641		-11624.4991		0.10		806.0
	84		2014-03-29		09:10:56		3638.2641		-11624.4991		0.10		806.0
	85		2014-03-29		09:10:57		3638.2641		-11624.4991		0.00		806.0
	86		2014-03-29		09:10:58		3638.2641		-11624.4991		0.10		806.0
	87		2014-03-29		09:10:59		3638.2641		-11624.4991		0.10		806.0
	88		2014-03-29		09:11:00		3638.2641		-11624.4991		0.10		806.0
	89		2014-03-29		09:11:01		3638.2640		-11624.4991		0.10		806.0
	90		2014-03-29		09:11:02		3638.2640		-11624.4991		0.10		806.0
	91		2014-03-29		09:11:03		3638.2640		-11624.4992		0.10		806.0
	92		2014-03-29		09:11:04		3638.2640		-11624.4991		0.00		806.0
	93		2014-03-29		09:11:05		3638.2641		-11624.4990		0.10		806.0
	94		2014-03-29		09:11:06		3638.2642		-11624.4989		0.10		805.0
	95		2014-03-29		09:11:07		3638.2643		-11624.4988		0.20		805.0
	96		2014-03-29		09:11:08		3638.2644		-11624.4987		0.20		805.0
	97		2014-03-29		09:11:09		3638.2645		-11624.4986		0.20		805.0
	98		2014-03-29		09:11:10		3638.2646		-11624.4985		0.20		805.0
	99		2014-03-29		09:11:11		3638.2647		-11624.4984		0.10		805.0
	100		2014-03-29		09:11:12		3638.2647		-11624.4985		0.00		804.0
	101		2014-03-29		09:11:13		3638.2646		-11624.4985		0.00		805.0
	102		2014-03-29		09:11:14		3638.2645		-11624.4986		0.00		805.0
	103		2014-03-29		09:11:15		3638.2645		-11624.4987		0.10		805.0
	104		2014-03-29		09:11:16		3638.2644		-11624.4987		0.10		805.0
	105		2014-03-29		09:11:17		3638.2644		-11624.4988		0.10		805.0
	106		2014-03-29		09:11:18		3638.2644		-11624.4988		0.00		805.0
	107		2014-03-29		09:11:19		3638.2643		-11624.4988		0.10		805.0
	108		2014-03-29		09:11:20		3638.2643		-11624.4988		0.10		805.0
	109		2014-03-29		09:11:21		3638.2643		-11624.4989		0.10		805.0
	110		2014-03-29		09:11:22		3638.2643		-11624.4989		0.10		805.0
	111		2014-03-29		09:11:23		3638.2642		-11624.4989		0.00		805.0
	112		2014-03-29		09:11:24		3638.2642		-11624.4989		0.00		805.0
	113		2014-03-29		09:11:25		3638.2642		-11624.4989		0.10		806.0
	114		2014-03-29		09:11:26		3638.2642		-11624.4990		0.10		806.0
	115		2014-03-29		09:11:27		3638.2641		-11624.4990		0.00		806.0
	116		2014-03-29		09:11:28		3638.2641		-11624.4990		0.10		806.0
	117		2014-03-29		09:11:29		3638.2641		-11624.4991		0.00		806.0
	118		2014-03-29		09:11:30		3638.2640		-11624.4991		0.10		806.0
